"date","difficulty","median_sec","vs_weekday"
"2019-05-30","Easy",1264,-17
"2019-05-31","Average",1550,-11
"2019-06-01","Very Easy",1213,-27
"2019-06-02","Easy",2191,-23
"2019-06-03","Average",502,-8
"2019-06-04","Easy",658,-17
"2019-06-05","Very Hard",1183,23
"2019-06-06","Average",1573,-6
"2019-06-07","Average",1746,-1
"2019-06-08","Average",1786,-2
"2019-06-09","Hard",3424,2
"2019-06-10","Average",494,-8
"2019-06-11","Easy",631,-22
"2019-06-12","Very Hard",1221,23
"2019-06-13","Easy",1202,-27
"2019-06-14","Average",1344,-15
"2019-06-15","Average",1612,-9
"2019-06-16","Hard",3343,4
"2019-06-17","Very Easy",390,-31
"2019-06-18","Hard",875,11
"2019-06-19","Very Hard",1373,32
"2019-06-20","Easy",1152,-26
"2019-06-21","Easy",1252,-26
"2019-06-22","Average",1713,-7
"2019-06-23","Average",2766,-4
"2019-06-24","Average",511,-3
"2019-06-25","Hard",868,11
"2019-06-26","Hard",1134,8
"2019-06-27","Easy",1133,-24
"2019-06-28","Average",1419,-15
"2019-06-29","Very Easy",1190,-29
"2019-06-30","Easy",2182,-24
"2019-07-01","Hard",590,2
"2019-07-02","Easy",594,-19
"2019-07-03","Very Easy",751,-29
"2019-07-04","Easy",1242,-21
"2019-07-05","Average",1455,-13
"2019-07-06","Hard",2042,11
"2019-07-07","Hard",3132,4
"2019-07-08","Hard",631,7
"2019-07-09","Hard",780,5
"2019-07-10","Hard",1220,10
"2019-07-11","Hard",1710,10
"2019-07-12","Easy",1305,-18
"2019-07-13","Hard",2082,10
"2019-07-14","Very Easy",2033,-27
"2019-07-15","Average",491,-11
"2019-07-16","Average",694,-11
"2019-07-17","Very Easy",628,-42
"2019-07-18","Easy",1236,-17
"2019-07-19","Average",1392,-10
"2019-07-20","Hard",1957,3
"2019-07-21","Easy",2102,-25
"2019-07-22","Easy",424,-23
"2019-07-23","Easy",569,-22
"2019-07-24","Hard",1230,7
"2019-07-25","Easy",1157,-18
"2019-07-26","Hard",1860,11
"2019-07-27","Very Hard",2291,25
"2019-07-28","Average",2474,-15
"2019-07-29","Average",538,-4
"2019-07-30","Easy",514,-26
"2019-07-31","Hard",1215,2
"2019-08-01","Hard",1553,8
"2019-08-02","Easy",1166,-23
"2019-08-03","Average",1815,-3
"2019-08-04","Easy",2123,-18
"2019-08-05","Easy",414,-23
"2019-08-06","Very Hard",1026,32
"2019-08-07","Hard",1195,2
"2019-08-08","Hard",1485,3
"2019-08-09","Average",1370,-10
"2019-08-10","Average",1630,-9
"2019-08-11","Average",2799,-1
"2019-08-12","Average",504,-4
"2019-08-13","Very Easy",527,-31
"2019-08-14","Easy",948,-17
"2019-08-15","Hard",1534,2
"2019-08-16","Average",1571,-1
"2019-08-17","Hard",2067,5
"2019-08-18","Easy",1982,-23
"2019-08-19","Hard",702,17
"2019-08-20","Very Easy",460,-39
"2019-08-21","Hard",1511,15
"2019-08-22","Average",1371,-5
"2019-08-23","Average",1490,-6
"2019-08-24","Hard",1886,2
"2019-08-25","Very Hard",67,30
"2019-08-26","Easy",417,-24
"2019-08-27","Hard",784,5
"2019-08-28","Easy",882,-23
"2019-08-29","Average",1428,-3
"2019-08-30","Average",1258,-15
"2019-08-31","Very Easy",1247,-32
"2019-09-01","Hard",2881,3
"2019-09-02","Hard",590,4
"2019-09-03","Hard",838,10
"2019-09-04","Very Easy",708,-33
"2019-09-05","Hard",1926,17
"2019-09-06","Very Hard",2146,23
"2019-09-07","Hard",2208,8
"2019-09-08","Hard",3284,16
"2019-09-09","Average",503,-8
"2019-09-10","Easy",523,-26
"2019-09-11","Very Hard",1474,28
"2019-09-12","Easy",1155,-22
"2019-09-13","Average",1291,-15
"2019-09-14","Average",1965,0
"2019-09-15","Average",2470,-8
"2019-09-16","Average",554,-2
"2019-09-17","Average",710,-3
"2019-09-18","Very Easy",618,-43
"2019-09-19","Average",1380,-7
"2019-09-20","Average",1483,-3
"2019-09-21","Hard",2014,2
"2019-09-22","Easy",2138,-17
"2019-09-23","Average",550,1
"2019-09-24","Hard",852,8
"2019-09-25","Very Easy",713,-32
"2019-09-26","Average",1388,-6
"2019-09-27","Average",1386,-12
"2019-09-28","Very Easy",1238,-34
"2019-09-29","Average",2195,-14
"2019-09-30","Easy",462,-17
"2019-10-01","Easy",571,-21
"2019-10-02","Average",1015,-2
"2019-10-03","Very Easy",892,-38
"2019-10-04","Hard",1857,9
"2019-10-05","Easy",1468,-22
"2019-10-06","Average",2466,-9
"2019-10-07","Very Easy",387,-31
"2019-10-08","Average",713,-5
"2019-10-09","Very Hard",1829,50
"2019-10-10","Average",1462,-4
"2019-10-11","Average",1485,-6
"2019-10-12","Easy",1396,-21
"2019-10-13","Average",2568,-6
"2019-10-14","Hard",613,9
"2019-10-15","Hard",757,2
"2019-10-16","Easy",834,-24
"2019-10-17","Hard",1683,4
"2019-10-18","Average",1590,-3
"2019-10-19","Hard",2216,13
"2019-10-20","Average",2828,-2
"2019-10-21","Very Easy",412,-27
"2019-10-22","Hard",755,4
"2019-10-23","Average",938,-10
"2019-10-24","Easy",1147,-21
"2019-10-25","Average",1335,-14
"2019-10-26","Very Easy",1248,-29
"2019-10-27","Easy",2170,-18
"2019-10-28","Easy",401,-27
"2019-10-29","Easy",559,-23
"2019-10-30","Very Easy",729,-35
"2019-10-31","Easy",1067,-24
"2019-11-01","Very Easy",1151,-28
"2019-11-02","Average",1461,-15
"2019-11-03","Hard",2922,2
"2019-11-04","Easy",397,-26
"2019-11-05","Easy",557,-23
"2019-11-06","Very Easy",723,-29
"2019-11-07","Very Hard",2388,40
"2019-11-08","Average",1385,-9
"2019-11-09","Very Easy",853,-48
"2019-11-10","Hard",2761,4
"2019-11-11","Average",513,-5
"2019-11-12","Average",602,-15
"2019-11-13","Hard",1248,12
"2019-11-14","Easy",1127,-22
"2019-11-15","Easy",1193,-24
"2019-11-16","Easy",1395,-18
"2019-11-17","Hard",3208,9
"2019-11-18","Hard",601,9
"2019-11-19","Average",684,-3
"2019-11-20","Very Easy",741,-29
"2019-11-21","Hard",1613,14
"2019-11-22","Easy",1142,-21
"2019-11-23","Hard",1727,2
"2019-11-24","Very Hard",65,31
"2019-11-25","Hard",609,13
"2019-11-26","Very Easy",500,-29
"2019-11-27","Average",962,-4
"2019-11-28","Average",1364,-9
"2019-11-29","Hard",1565,3
"2019-11-30","Average",1519,-7
"2019-12-01","Easy",2317,-19
"2019-12-02","Average",461,-13
"2019-12-03","Average",698,-3
"2019-12-04","Very Easy",512,-51
"2019-12-05","Easy",1117,-25
"2019-12-06","Hard",1770,10
"2019-12-07","Very Hard",3415,74
"2019-12-08","Hard",3105,3
"2019-12-09","Easy",404,-21
"2019-12-10","Average",588,-14
"2019-12-11","Hard",1193,10
"2019-12-12","Very Hard",1937,20
"2019-12-13","Easy",1201,-20
"2019-12-14","Hard",1980,8
"2019-12-15","Average",2696,-6
"2019-12-16","Average",499,-5
"2019-12-17","Average",672,-5
"2019-12-18","Average",890,-12
"2019-12-19","Average",1436,-5
"2019-12-20","Hard",1644,7
"2019-12-21","Average",1933,1
"2019-12-22","Average",2501,-10
"2019-12-23","Easy",424,-18
"2019-12-24","Average",688,-2
"2019-12-25","Easy",788,-19
"2019-12-26","Hard",1875,7
"2019-12-27","Very Easy",1067,-28
"2019-12-28","Easy",1509,-19
"2019-12-29","Average",2625,-9
"2019-12-30","Easy",397,-20
"2019-12-31","Very Easy",476,-31
"2020-01-01","Average",890,-6
"2020-01-02","Easy",1164,-24
"2020-01-03","Average",1280,-12
"2020-01-04","Average",1707,-7
"2020-01-05","Average",2909,0
"2020-01-06","Hard",619,15
"2020-01-07","Average",585,-16
"2020-01-08","Average",1016,1
"2020-01-09","Very Hard",2137,23
"2020-01-10","Very Hard",2416,40
"2020-01-11","Hard",2026,5
"2020-01-12","Very Easy",1881,-35
"2020-01-13","Very Hard",672,19
"2020-01-14","Easy",486,-26
"2020-01-15","Hard",1042,3
"2020-01-16","Hard",2022,9
"2020-01-17","Very Easy",1120,-27
"2020-01-18","Average",1869,-3
"2020-01-19","Very Hard",66,24
"2020-01-20","Easy",436,-24
"2020-01-21","Very Hard",867,21
"2020-01-22","Hard",1162,12
"2020-01-23","Average",1447,-10
"2020-01-24","Average",1405,-9
"2020-01-25","Hard",2270,7
"2020-01-26","Very Easy",2081,-30
"2020-01-27","Average",527,-4
"2020-01-28","Very Easy",463,-32
"2020-01-29","Hard",1148,14
"2020-01-30","Very Easy",1055,-34
"2020-01-31","Average",1346,-10
"2020-02-01","Very Hard",2842,23
"2020-02-02","Easy",2336,-20
"2020-02-03","Easy",411,-22
"2020-02-04","Easy",544,-17
"2020-02-05","Average",1045,-3
"2020-02-06","Average",1400,-9
"2020-02-07","Average",1400,-9
"2020-02-08","Very Easy",1327,-34
"2020-02-09","Very Easy",1909,-29
"2020-02-10","Hard",623,13
"2020-02-11","Easy",534,-19
"2020-02-12","Average",869,-16
"2020-02-13","Easy",1312,-17
"2020-02-14","Easy",1180,-22
"2020-02-15","Average",1888,-11
"2020-02-16","Average",2598,-5
"2020-02-17","Average",447,-16
"2020-02-18","Average",641,-1
"2020-02-19","Average",952,-6
"2020-02-20","Hard",1741,5
"2020-02-21","Average",1198,-14
"2020-02-22","Average",2037,-1
"2020-02-23","Easy",1980,-22
"2020-02-24","Average",505,-6
"2020-02-25","Average",557,-15
"2020-02-26","Easy",778,-24
"2020-02-27","Very Easy",999,-37
"2020-02-28","Very Easy",992,-36
"2020-02-29","Easy",1625,-20
"2020-03-01","Hard",2937,8
"2020-03-02","Average",508,-7
"2020-03-03","Average",581,-6
"2020-03-04","Hard",1125,3
"2020-03-05","Average",1349,-15
"2020-03-06","Average",1279,-10
"2020-03-07","Very Easy",1346,-30
"2020-03-08","Average",2671,0
"2020-03-09","Average",533,-4
"2020-03-10","Hard",694,6
"2020-03-11","Very Easy",714,-31
"2020-03-12","Average",1331,-15
"2020-03-13","Average",1472,-4
"2020-03-14","Average",1807,-4
"2020-03-15","Hard",3067,14
"2020-03-16","Hard",580,2
"2020-03-17","Average",578,-7
"2020-03-18","Very Easy",665,-33
"2020-03-19","Very Easy",993,-34
"2020-03-20","Average",1464,-1
"2020-03-21","Average",1651,-14
"2020-03-22","Average",2527,-3
"2020-03-23","Average",506,-11
"2020-03-24","Average",606,-5
"2020-03-25","Average",889,-8
"2020-03-26","Average",1305,-9
"2020-03-27","Hard",1670,16
"2020-03-28","Average",1947,-2
"2020-03-29","Easy",1883,-26
"2020-03-30","Easy",410,-21
"2020-03-31","Average",553,-13
"2020-04-01","Easy",760,-22
"2020-04-02","Hard",1601,11
"2020-04-03","Average",1315,-7
"2020-04-04","Very Easy",1325,-30
"2020-04-05","Average",2469,-4
"2020-04-06","Easy",420,-19
"2020-04-07","Easy",507,-19
"2020-04-08","Average",975,-1
"2020-04-09","Average",1255,-10
"2020-04-10","Hard",1650,10
"2020-04-11","Very Hard",2349,18
"2020-04-12","Average",2349,-9
"2020-04-13","Very Easy",331,-39
"2020-04-14","Easy",500,-20
"2020-04-15","Very Hard",1207,22
"2020-04-16","Very Hard",2408,42
"2020-04-17","Average",1260,-14
"2020-04-18","Average",1769,-3
"2020-04-19","Average",2398,-6
"2020-04-20","Average",491,-4
"2020-04-21","Hard",701,12
"2020-04-22","Hard",1020,4
"2020-04-23","Hard",1558,2
"2020-04-24","Hard",1698,14
"2020-04-25","Hard",1981,1
"2020-04-26","Hard",2890,5
"2020-04-27","Easy",389,-21
"2020-04-28","Very Hard",879,32
"2020-04-29","Hard",966,2
"2020-04-30","Average",1234,-15
"2020-05-01","Hard",1780,7
"2020-05-02","Easy",1379,-24
"2020-05-03","Average",2222,-15
"2020-05-04","Hard",519,2
"2020-05-05","Easy",521,-17
"2020-05-06","Average",967,-1
"2020-05-07","Hard",1631,5
"2020-05-08","Average",1358,-10
"2020-05-09","Hard",1953,6
"2020-05-10","Average",2541,-5
"2020-05-11","Hard",543,4
"2020-05-12","Easy",539,-19
"2020-05-13","Hard",1195,12
"2020-05-14","Very Easy",1069,-29
"2020-05-15","Easy",1163,-25
"2020-05-16","Easy",1398,-23
"2020-05-17","Hard",2947,7
"2020-05-18","Average",444,-12
"2020-05-19","Average",592,-10
"2020-05-20","Easy",788,-23
"2020-05-21","Average",1262,-14
"2020-05-22","Average",1419,-9
"2020-05-23","Average",1553,-13
"2020-05-24","Hard",3026,4
"2020-05-25","Average",488,-2
"2020-05-26","Hard",688,3
"2020-05-27","Average",1033,0
"2020-05-28","Average",1407,-7
"2020-05-29","Average",1504,-3
"2020-05-30","Very Easy",1270,-30
"2020-05-31","Average",2574,-1
"2020-06-01","Easy",360,-26
"2020-06-02","Average",597,-8
"2020-06-03","Easy",897,-17
"2020-06-04","Very Easy",868,-41
"2020-06-05","Hard",1917,12
"2020-06-06","Very Hard",2603,35
"2020-06-07","Average",2415,-6
"2020-06-08","Easy",400,-17
"2020-06-09","Hard",737,13
"2020-06-10","Very Easy",575,-44
"2020-06-11","Very Hard",2396,40
"2020-06-12","Easy",1254,-20
"2020-06-13","Very Hard",2676,22
"2020-06-14","Hard",3106,9
"2020-06-15","Easy",386,-18
"2020-06-16","Hard",710,3
"2020-06-17","Hard",1120,6
"2020-06-18","Average",1309,-16
"2020-06-19","Average",1521,-1
"2020-06-20","Very Easy",1310,-32
"2020-06-21","Average",2397,-15
"2020-06-22","Average",417,-12
"2020-06-23","Hard",869,16
"2020-06-24","Average",927,-10
"2020-06-25","Average",1268,-16
"2020-06-26","Average",1360,-13
"2020-06-27","Average",1635,-12
"2020-06-28","Hard",2822,2
"2020-06-29","Average",459,-7
"2020-06-30","Hard",888,17
"2020-07-01","Average",995,-2
"2020-07-02","Easy",1165,-18
"2020-07-03","Easy",1308,-19
"2020-07-04","Average",1884,1
"2020-07-05","Very Easy",1897,-29
"2020-07-06","Average",398,-16
"2020-07-07","Very Easy",517,-32
"2020-07-08","Very Easy",586,-42
"2020-07-09","Hard",1506,2
"2020-07-10","Average",1407,-8
"2020-07-11","Easy",1514,-18
"2020-07-12","Average",2397,-9
"2020-07-13","Average",441,-4
"2020-07-14","Very Hard",1183,47
"2020-07-15","Average",838,-11
"2020-07-16","Very Easy",887,-36
"2020-07-17","Average",1405,-11
"2020-07-18","Easy",1552,-17
"2020-07-19","Hard",3108,6
"2020-07-20","Average",418,-8
"2020-07-21","Very Easy",453,-41
"2020-07-22","Average",907,-5
"2020-07-23","Hard",1678,14
"2020-07-24","Very Easy",891,-40
"2020-07-25","Easy",1378,-21
"2020-07-26","Average",2353,-14
"2020-07-27","Average",432,-4
"2020-07-28","Average",713,-5
"2020-07-29","Average",922,-1
"2020-07-30","Very Easy",613,-58
"2020-07-31","Average",1400,-5
"2020-08-01","Easy",1452,-19
"2020-08-02","Average",2799,-2
"2020-08-03","Average",442,-4
"2020-08-04","Very Hard",1087,32
"2020-08-05","Very Easy",608,-35
"2020-08-06","Hard",1414,2
"2020-08-07","Very Hard",2063,28
"2020-08-08","Easy",1410,-18
"2020-08-09","Easy",2028,-23
"2020-08-10","Average",443,-1
"2020-08-11","Average",684,-15
"2020-08-12","Easy",716,-22
"2020-08-13","Hard",1480,6
"2020-08-14","Very Easy",1061,-29
"2020-08-15","Very Hard",2356,20
"2020-08-16","Easy",1898,-26
"2020-08-17","Average",393,-14
"2020-08-18","Very Easy",441,-46
"2020-08-19","Average",785,-10
"2020-08-20","Average",1239,-13
"2020-08-21","Hard",1493,1
"2020-08-22","Easy",1349,-24
"2020-08-23","Easy",2066,-18
"2020-08-24","Hard",506,10
"2020-08-25","Easy",640,-17
"2020-08-26","Hard",979,5
"2020-08-27","Very Hard",1848,30
"2020-08-28","Easy",1109,-22
"2020-08-29","Easy",1290,-23
"2020-08-30","Easy",1821,-21
"2020-08-31","Hard",485,4
"2020-09-01","Very Easy",508,-34
"2020-09-02","Average",752,-16
"2020-09-03","Easy",1115,-19
"2020-09-04","Average",1371,-5
"2020-09-05","Average",1522,-7
"2020-09-06","Hard",3141,14
"2020-09-07","Hard",497,2
"2020-09-08","Average",721,-6
"2020-09-09","Easy",689,-20
"2020-09-10","Hard",1534,6
"2020-09-11","Average",1356,-6
"2020-09-12","Very Hard",2291,23
"2020-09-13","Average",2370,-4
"2020-09-14","Average",402,-15
"2020-09-15","Very Easy",508,-29
"2020-09-16","Average",865,1
"2020-09-17","Average",1191,-12
"2020-09-18","Average",1250,-12
"2020-09-19","Hard",1816,2
"2020-09-20","Average",2264,-5
"2020-09-21","Average",473,-3
"2020-09-22","Average",621,-12
"2020-09-23","Average",732,-15
"2020-09-24","Hard",1573,10
"2020-09-25","Easy",1113,-19
"2020-09-26","Easy",1370,-19
"2020-09-27","Average",2270,-7
"2020-09-28","Average",457,-7
"2020-09-29","Easy",518,-25
"2020-09-30","Very Easy",619,-29
"2020-10-01","Very Hard",1828,21
"2020-10-02","Easy",1136,-21
"2020-10-03","Hard",1971,8
"2020-10-04","Average",2268,-5
"2020-10-05","Average",439,-9
"2020-10-06","Average",595,-14
"2020-10-07","Very Easy",575,-31
"2020-10-08","Average",1407,-4
"2020-10-09","Easy",1129,-20
"2020-10-10","Average",1578,-11
"2020-10-11","Hard",2520,2
"2020-10-12","Hard",546,11
"2020-10-13","Easy",558,-18
"2020-10-14","Very Hard",1145,37
"2020-10-15","Easy",1137,-25
"2020-10-16","Average",1170,-16
"2020-10-17","Average",1616,-6
"2020-10-18","Easy",1973,-18
"2020-10-19","Average",420,-14
"2020-10-20","Average",585,-7
"2020-10-21","Hard",902,5
"2020-10-22","Hard",1616,6
"2020-10-23","Average",1206,-9
"2020-10-24","Hard",2112,14
"2020-10-25","Hard",2840,10
"2020-10-26","Easy",374,-25
"2020-10-27","Average",521,-16
"2020-10-28","Very Hard",1724,80
"2020-10-29","Easy",1263,-18
"2020-10-30","Hard",1564,16
"2020-10-31","Hard",1932,7
"2020-11-01","Hard",2881,8
"2020-11-02","Easy",377,-22
"2020-11-03","Average",614,-1
"2020-11-04","Average",936,-5
"2020-11-05","Hard",1588,4
"2020-11-06","Hard",1393,3
"2020-11-07","Hard",2192,15
"2020-11-08","Average",2434,-3
"2020-11-09","Average",458,-7
"2020-11-10","Very Hard",824,26
"2020-11-11","Average",841,-11
"2020-11-12","Easy",1218,-18
"2020-11-13","Easy",1034,-20
"2020-11-14","Very Easy",1318,-30
"2020-11-15","Easy",1950,-20
"2020-11-16","Hard",493,4
"2020-11-17","Average",607,-7
"2020-11-18","Very Easy",652,-32
"2020-11-19","Very Easy",1031,-32
"2020-11-20","Average",1293,-3
"2020-11-21","Hard",2142,8
"2020-11-22","Average",2344,-5
"2020-11-23","Average",478,1
"2020-11-24","Hard",663,5
"2020-11-25","Very Easy",635,-34
"2020-11-26","Average",1448,-5
"2020-11-27","Average",1200,-6
"2020-11-28","Very Easy",945,-50
"2020-11-29","Average",2146,-12
"2020-11-30","Average",410,-16
"2020-12-01","Average",631,-8
"2020-12-02","Average",886,-10
"2020-12-03","Very Easy",996,-33
"2020-12-04","Average",1352,-1
"2020-12-05","Average",1706,-5
"2020-12-06","Easy",2050,-17
"2020-12-07","Average",428,-10
"2020-12-08","Average",569,-12
"2020-12-09","Very Easy",681,-28
"2020-12-10","Average",1224,-15
"2020-12-11","Average",1131,-16
"2020-12-12","Average",1964,1
"2020-12-13","Very Easy",1580,-34
"2020-12-14","Hard",540,12
"2020-12-15","Average",583,-12
"2020-12-16","Very Easy",675,-30
"2020-12-17","Very Easy",905,-33
"2020-12-18","Hard",1574,12
"2020-12-19","Average",1632,-12
"2020-12-20","Average",2360,-3
"2020-12-21","Hard",514,6
"2020-12-22","Average",655,-2
"2020-12-23","Hard",1102,12
"2020-12-24","Easy",1016,-24
"2020-12-25","Easy",991,-27
"2020-12-26","Average",1965,1
"2020-12-27","Average",2092,-11
"2020-12-28","Average",451,-6
"2020-12-29","Easy",527,-19
"2020-12-30","Very Easy",657,-30
"2020-12-31","Average",1279,-3
"2021-01-01","Average",1379,-2
"2021-01-02","Average",1840,-4
"2021-01-03","Easy",1937,-18
"2021-01-04","Hard",547,8
"2021-01-05","Hard",716,5
"2021-01-06","Very Easy",649,-30
"2021-01-07","Average",1126,-12
"2021-01-08","Average",1281,-9
"2021-01-09","Average",1753,-7
"2021-01-10","Average",2064,-10
"2021-01-11","Easy",369,-27
"2021-01-12","Average",672,-3
"2021-01-13","Easy",633,-25
"2021-01-14","Average",1188,-10
"2021-01-15","Easy",1108,-19
"2021-01-16","Average",1946,1
"2021-01-17","Average",2412,0
"2021-01-18","Average",459,-7
"2021-01-19","Average",709,0
"2021-01-20","Hard",926,9
"2021-01-21","Very Hard",1687,23
"2021-01-22","Average",1283,-6
"2021-01-23","Hard",2159,12
"2021-01-24","Average",2303,0
"2021-01-25","Average",460,-7
"2021-01-26","Very Hard",945,28
"2021-01-27","Easy",635,-21
"2021-01-28","Average",1336,1
"2021-01-29","Average",1156,-16
"2021-01-30","Easy",1532,-17
"2021-01-31","Hard",2427,4
"2021-02-01","Easy",374,-24
"2021-02-02","Average",648,-11
"2021-02-03","Easy",676,-17
"2021-02-04","Very Easy",936,-29
"2021-02-05","Easy",1042,-21
"2021-02-06","Very Easy",1211,-32
"2021-02-07","Easy",1736,-20
"2021-02-08","Hard",505,2
"2021-02-09","Average",652,-6
"2021-02-10","Average",697,-15
"2021-02-11","Average",1161,-7
"2021-02-12","Hard",1407,6
"2021-02-13","Easy",1364,-24
"2021-02-14","Very Hard",3266,33
"2021-02-15","Hard",572,15
"2021-02-16","Average",611,-15
"2021-02-17","Easy",623,-22
"2021-02-18","Average",1295,1
"2021-02-19","Hard",1531,13
"2021-02-20","Easy",1439,-17
"2021-02-21","Easy",1840,-18
"2021-02-22","Average",488,-5
"2021-02-23","Very Easy",448,-35
"2021-02-24","Average",724,-9
"2021-02-25","Average",1366,1
"2021-02-26","Hard",1640,16
"2021-02-27","Very Easy",1198,-29
"2021-02-28","Average",2354,1
"2021-03-01","Very Easy",357,-29
"2021-03-02","Average",715,-1
"2021-03-03","Easy",620,-19
"2021-03-04","Average",1236,-7
"2021-03-05","Average",1198,-14
"2021-03-06","Easy",1311,-20
"2021-03-07","Average",2263,-2
"2021-03-08","Hard",543,9
"2021-03-09","Very Easy",507,-28
"2021-03-10","Hard",795,6
"2021-03-11","Average",1204,-8
"2021-03-12","Average",1211,-12
"2021-03-13","Average",1533,-5
"2021-03-14","Hard",2502,7
"2021-03-15","Average",440,-13
"2021-03-16","Hard",737,5
"2021-03-17","Hard",858,11
"2021-03-18","Average",1302,-3
"2021-03-19","Very Hard",2049,40
"2021-03-20","Average",1513,-8
"2021-03-21","Average",2358,-2
"2021-03-22","Average",432,-11
"2021-03-23","Hard",802,10
"2021-03-24","Hard",808,4
"2021-03-25","Hard",1605,15
"2021-03-26","Average",1239,-12
"2021-03-27","Hard",1718,3
"2021-03-28","Very Easy",1464,-36
"2021-03-29","Average",489,-3
"2021-03-30","Average",644,-10
"2021-03-31","Hard",884,8
"2021-04-01","Hard",1519,4
"2021-04-02","Very Easy",965,-33
"2021-04-03","Hard",1833,16
"2021-04-04","Hard",2428,4
"2021-04-05","Average",498,-3
"2021-04-06","Average",686,-5
"2021-04-07","Easy",634,-18
"2021-04-08","Average",1177,-13
"2021-04-09","Average",1273,-10
"2021-04-10","Hard",1688,3
"2021-04-11","Hard",2439,2
"2021-04-12","Average",419,-16
"2021-04-13","Very Easy",464,-32
"2021-04-14","Average",687,-15
"2021-04-15","Average",1293,-7
"2021-04-16","Average",1276,-11
"2021-04-17","Very Easy",1076,-31
"2021-04-18","Average",2085,-11
"2021-04-19","Easy",419,-17
"2021-04-20","Very Easy",443,-33
"2021-04-21","Average",743,-5
"2021-04-22","Average",1214,-11
"2021-04-23","Average",1308,-5
"2021-04-24","Average",1570,-2
"2021-04-25","Average",2297,-2
"2021-04-26","Hard",532,7
"2021-04-27","Easy",501,-20
"2021-04-28","Easy",641,-18
"2021-04-29","Very Hard",1683,18
"2021-04-30","Very Easy",976,-30
"2021-05-01","Average",1514,-4
"2021-05-02","Easy",1767,-21
"2021-05-03","Hard",512,3
"2021-05-04","Very Easy",412,-33
"2021-05-05","Easy",655,-17
"2021-05-06","Easy",1104,-24
"2021-05-07","Average",1206,-12
"2021-05-08","Easy",1234,-22
"2021-05-09","Average",2187,-6
"2021-05-10","Easy",386,-22
"2021-05-11","Very Easy",429,-32
"2021-05-12","Average",759,-5
"2021-05-13","Easy",1058,-24
"2021-05-14","Easy",1012,-24
"2021-05-15","Hard",1776,10
"2021-05-16","Very Hard",3474,43
"2021-05-17","Easy",382,-22
"2021-05-18","Easy",459,-25
"2021-05-19","Hard",902,6
"2021-05-20","Very Hard",1996,31
"2021-05-21","Hard",1645,15
"2021-05-22","Hard",1751,3
"2021-05-23","Easy",1799,-22
"2021-05-24","Easy",391,-18
"2021-05-25","Very Hard",742,17
"2021-05-26","Easy",632,-21
"2021-05-27","Easy",1111,-23
"2021-05-28","Very Hard",1977,44
"2021-05-29","Hard",1768,6
"2021-05-30","Average",1996,-14
"2021-05-31","Easy",364,-22
"2021-06-01","Easy",438,-26
"2021-06-02","Average",768,-5
"2021-06-03","Average",1214,-16
"2021-06-04","Average",1219,-11
"2021-06-05","Average",1524,-8
"2021-06-06","Average",2409,-1
"2021-06-07","Easy",364,-21
"2021-06-08","Very Hard",883,45
"2021-06-09","Easy",602,-21
"2021-06-10","Easy",1062,-26
"2021-06-11","Average",1152,-15
"2021-06-12","Very Easy",1161,-29
"2021-06-13","Average",2204,-8
"2021-06-14","Average",390,-13
"2021-06-15","Easy",478,-19
"2021-06-16","Average",785,1
"2021-06-17","Very Easy",940,-30
"2021-06-18","Average",1309,-9
"2021-06-19","Easy",1266,-20
"2021-06-20","Easy",1947,-20
"2021-06-21","Average",414,-6
"2021-06-22","Hard",591,3
"2021-06-23","Average",694,-10
"2021-06-24","Hard",1500,8
"2021-06-25","Very Easy",998,-28
"2021-06-26","Hard",1804,12
"2021-06-27","Average",2062,-13
"2021-06-28","Very Hard",551,19
"2021-06-29","Very Hard",813,34
"2021-06-30","Average",726,-3
"2021-07-01","Easy",1064,-24
"2021-07-02","Easy",1102,-20
"2021-07-03","Hard",1921,13
"2021-07-04","Average",1992,-13
"2021-07-05","Hard",484,6
"2021-07-06","Very Easy",447,-27
"2021-07-07","Average",728,-6
"2021-07-08","Very Hard",1680,19
"2021-07-09","Easy",1032,-23
"2021-07-10","Hard",1993,12
"2021-07-11","Hard",2373,2
"2021-07-12","Hard",511,12
"2021-07-13","Hard",659,6
"2021-07-14","Average",775,0
"2021-07-15","Easy",1041,-22
"2021-07-16","Average",1255,-7
"2021-07-17","Very Hard",2326,25
"2021-07-18","Average",2024,-13
"2021-07-19","Average",446,-1
"2021-07-20","Average",567,-8
"2021-07-21","Hard",949,15
"2021-07-22","Average",1107,-16
"2021-07-23","Hard",1596,16
"2021-07-24","Very Easy",1248,-28
"2021-07-25","Average",2205,-3
"2021-07-26","Average",391,-14
"2021-07-27","Easy",510,-21
"2021-07-28","Very Hard",1197,41
"2021-07-29","Average",1212,-9
"2021-07-30","Average",1228,-14
"2021-07-31","Average",1743,-3
"2021-08-01","Hard",2457,7
"2021-08-02","Easy",340,-27
"2021-08-03","Average",649,-3
"2021-08-04","Average",722,-14
"2021-08-05","Easy",1037,-17
"2021-08-06","Hard",1584,9
"2021-08-07","Average",1588,-10
"2021-08-08","Easy",1889,-17
"2021-08-09","Hard",550,16
"2021-08-10","Average",568,-11
"2021-08-11","Easy",653,-22
"2021-08-12","Hard",1378,7
"2021-08-13","Hard",1416,6
"2021-08-14","Average",1596,-11
"2021-08-15","Average",2279,-2
"2021-08-16","Average",417,-11
"2021-08-17","Average",643,-4
