"date","difficulty","median_sec","vs_weekday"
"2015-12-18","Very Hard",3401,31
"2015-12-19","Average",2868,-1
"2015-12-20","Average",69,-4
"2015-12-21","Very Easy",381,-46
"2015-12-22","Average",924,-7
"2015-12-23","Easy",739,-27
"2015-12-24","Very Easy",1240,-39
"2015-12-25","Easy",1402,-24
"2015-12-26","Very Easy",1329,-34
"2015-12-27","Easy",2438,-20
"2015-12-28","Average",586,-9
"2015-12-29","Average",942,-2
"2015-12-30","Average",798,-13
"2015-12-31","Easy",1472,-19
"2016-01-01","Average",1503,-17
"2016-01-02","Average",1683,-14
"2016-01-03","Hard",73,10
"2016-01-04","Average",577,-6
"2016-01-05","Average",758,-13
"2016-01-06","Average",1143,-12
"2016-01-07","Very Hard",3527,20
"2016-01-08","Very Hard",3206,22
"2016-01-09","Very Hard",65,43
"2016-01-10","Average",3450,-6
"2016-01-11","Easy",510,-17
"2016-01-12","Average",916,-4
"2016-01-13","Very Hard",1655,34
"2016-01-14","Hard",2937,5
"2016-01-15","Easy",1589,-20
"2016-01-16","Hard",3253,10
"2016-01-17","Hard",82,9
"2016-01-18","Average",515,-15
"2016-01-19","Average",834,-2
"2016-01-20","Average",1211,-1
"2016-01-21","Very Easy",932,-51
"2016-01-22","Average",1668,-5
"2016-01-23","Very Easy",1562,-30
"2016-01-24","Hard",71,3
"2016-01-25","Very Easy",390,-47
"2016-01-26","Very Easy",584,-32
"2016-01-27","Average",1169,0
"2016-01-28","Average",2052,-2
"2016-01-29","Average",1837,-3
"2016-01-30","Hard",3211,13
"2016-01-31","Hard",3300,2
"2016-02-01","Hard",712,6
"2016-02-02","Average",788,-12
"2016-02-03","Very Easy",591,-51
"2016-02-04","Average",2101,-4
"2016-02-05","Average",2055,-8
"2016-02-06","Hard",2452,1
"2016-02-07","Hard",92,9
"2016-02-08","Hard",647,5
"2016-02-09","Easy",692,-24
"2016-02-10","Very Easy",573,-48
"2016-02-11","Easy",1541,-22
"2016-02-12","Average",2040,-4
"2016-02-13","Average",1852,-11
"2016-02-14","Average",63,-5
"2016-02-15","Hard",725,7
"2016-02-16","Hard",1160,5
"2016-02-17","Average",1078,-2
"2016-02-18","Average",3044,-6
"2016-02-19","Very Hard",2822,17
"2016-02-20","Hard",2503,4
"2016-02-21","Average",2721,-11
"2016-02-22","Average",597,-3
"2016-02-23","Hard",1188,8
"2016-02-24","Hard",1792,14
"2016-02-25","Easy",1444,-21
"2016-02-26","Very Hard",3381,21
"2016-02-27","Hard",2959,-1
"2016-02-28","Average",3524,-11
"2016-02-29","Easy",442,-24
"2016-03-01","Easy",660,-19
"2016-03-02","Average",916,-11
"2016-03-03","Hard",2920,8
"2016-03-04","Average",2477,-3
"2016-03-05","Hard",2741,1
"2016-03-06","Average",80,-2
"2016-03-07","Very Hard",1423,20
"2016-03-08","Easy",656,-18
"2016-03-09","Very Hard",2060,39
"2016-03-10","Hard",3150,6
"2016-03-11","Hard",3214,9
"2016-03-12","Average",1968,-9
"2016-03-13","Easy",2496,-21
"2016-03-14","Average",670,1
"2016-03-15","Average",740,-13
"2016-03-16","Very Easy",655,-36
"2016-03-17","Very Easy",1199,-28
"2016-03-18","Very Easy",1333,-30
"2016-03-19","Hard",3361,12
"2016-03-20","Easy",2489,-28
"2016-03-21","Average",572,-6
"2016-03-22","Hard",928,2
"2016-03-23","Average",1088,-4
"2016-03-24","Average",1992,-4
"2016-03-25","Easy",1334,-26
"2016-03-26","Average",2507,-6
"2016-03-27","Hard",74,7
"2016-03-28","Average",564,-14
"2016-03-29","Hard",1030,8
"2016-03-30","Very Easy",671,-27
"2016-03-31","Very Easy",919,-38
"2016-04-01","Easy",1610,-19
"2016-04-02","Easy",1532,-27
"2016-04-03","Hard",62,-1
"2016-04-04","Average",582,-6
"2016-04-05","Average",879,-4
"2016-04-06","Hard",1204,14
"2016-04-07","Very Hard",3030,17
"2016-04-08","Hard",3094,12
"2016-04-09","Hard",2678,6
"2016-04-10","Average",64,-3
"2016-04-11","Average",607,-12
"2016-04-12","Hard",1139,15
"2016-04-13","Very Hard",2258,52
"2016-04-14","Average",2049,0
"2016-04-15","Average",1842,-8
"2016-04-16","Hard",2524,2
"2016-04-17","Average",2695,-17
"2016-04-18","Easy",549,-17
"2016-04-19","Hard",1160,10
"2016-04-20","Average",1194,-4
"2016-04-21","Average",1364,-16
"2016-04-22","Very Easy",1054,-46
"2016-04-23","Average",2049,-15
"2016-04-24","Average",2590,-10
"2016-04-25","Hard",832,7
"2016-04-26","Very Easy",595,-32
"2016-04-27","Hard",1589,6
"2016-04-28","Very Hard",2821,25
"2016-04-29","Easy",1317,-28
"2016-04-30","Very Hard",72,48
"2016-05-01","Hard",65,8
"2016-05-02","Average",583,-13
"2016-05-03","Average",984,-2
"2016-05-04","Very Hard",1682,24
"2016-05-05","Very Hard",3448,30
"2016-05-06","Average",1912,-6
"2016-05-07","Easy",1544,-29
"2016-05-08","Very Hard",100,28
"2016-05-09","Average",677,-2
"2016-05-10","Hard",1043,9
"2016-05-11","Very Easy",607,-47
"2016-05-12","Easy",1451,-23
"2016-05-13","Average",1547,-10
